Airline,Duration,Total stops,Price,Date,Source,Destination
Emirates,3h 55m,direct,"₹ 21,269",2023-06-01,CCJ,DXB
IndiGo,3h 55m,direct,"₹ 16,714",2023-06-01,CCJ,DXB
SpiceJet,4h 15m,direct,"₹ 17,094",2023-06-01,CCJ,DXB
Hahn Air Systems,4h 15m,direct,"₹ 31,792",2023-06-01,CCJ,DXB
Oman Air,8h 15m,1 stop,"₹ 16,765",2023-06-01,CCJ,DXB
Oman Air,8h 40m,1 stop,"₹ 16,765",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 21,887",2023-06-01,CCJ,DXB
IndiGo,10h 00m,1 stop,"₹ 15,156",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 16,764",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
IndiGo,14h 05m,1 stop,"₹ 14,833",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 15,259",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,14h 00m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 16,882",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 18,513",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 21,894",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,897",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,915",2023-06-01,CCJ,DXB
flynas,11h 15m,1 stop,"₹ 23,982",2023-06-01,CCJ,DXB
flynas,14h 15m,1 stop,"₹ 23,982",2023-06-01,CCJ,DXB
Air India,16h 40m,1 stop,"₹ 26,683",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 35,364",2023-06-01,CCJ,DXB
IndiGo,21h 05m,1 stop,"₹ 14,825",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 16,175",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 16,764",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 16,764",2023-06-01,CCJ,DXB
IndiGo,28h 25m,1 stop,"₹ 16,850",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 18,336",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 21,117",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,916",2023-06-01,CCJ,DXB
Gulf Air,24h 15m,1 stop,"₹ 21,923",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,959",2023-06-01,CCJ,DXB
flynas,17h 25m,1 stop,"₹ 23,982",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 25,656",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 26,233",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 55m,2 stops,"₹ 35,364",2023-06-01,CCJ,DXB
"Air India, Emirates",24h 00m,1 stop,"₹ 35,364",2023-06-01,CCJ,DXB
flynas,22h 55m,1 stop,"₹ 36,131",2023-06-01,CCJ,DXB
"Air India, Emirates",27h 40m,1 stop,"₹ 36,914",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,964",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,964",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 36,964",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 20m,1 stop,"₹ 38,762",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 38,938",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 38,938",2023-06-01,CCJ,DXB
flynas,27h 35m,2 stops,"₹ 43,627",2023-06-01,CCJ,DXB
flynas,27h 35m,2 stops,"₹ 43,627",2023-06-01,CCJ,DXB
Air India,25h 40m,3 stops,"₹ 46,502",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 46,863",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 46,863",2023-06-01,CCJ,DXB
Qatar Airways,25h 05m,1 stop,"₹ 46,863",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 49,027",2023-06-01,CCJ,DXB
Air India,29h 25m,3 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,20h 25m,2 stops,"₹ 54,342",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",13h 30m,2 stops,"₹ 59,963",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",17h 40m,2 stops,"₹ 59,963",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",19h 15m,2 stops,"₹ 59,963",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",25h 00m,2 stops,"₹ 62,161",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 26,649",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 23,887",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 31,024",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 17,521",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 31,024",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 21,406",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 18,639",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 20,581",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 17,651",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 22,286",2023-06-01,CCJ,DXB
IndiGo,21h 05m,1 stop,"₹ 14,825",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 16,882",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 17,651",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 18,248",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 19,421",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 22,289",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 22,303",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 22,305",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 22,389",2023-06-01,CCJ,DXB
Air India,16h 40m,1 stop,"₹ 26,683",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 20m,1 stop,"₹ 39,917",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 43,329",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 15,259",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 17,064",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 17,728",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 20,214",2023-06-01,CCJ,DXB
"IndiGo, Oman Air",12h 55m,2 stops,"₹ 21,231",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 21,894",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,897",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,915",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,916",2023-06-01,CCJ,DXB
Air India,16h 40m,1 stop,"₹ 25,656",2023-06-01,CCJ,DXB
flynas,11h 15m,1 stop,"₹ 31,118",2023-06-01,CCJ,DXB
flynas,14h 15m,1 stop,"₹ 31,118",2023-06-01,CCJ,DXB
flynas,17h 25m,1 stop,"₹ 31,118",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 43,329",2023-06-01,CCJ,DXB
Oman Air,8h 40m,1 stop,"₹ 17,521",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 18,151",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 23,887",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 17,345",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 18,513",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 18,835",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 21,894",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,897",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,915",2023-06-01,CCJ,DXB
Air India,16h 40m,1 stop,"₹ 26,683",2023-06-01,CCJ,DXB
flynas,11h 15m,1 stop,"₹ 31,118",2023-06-01,CCJ,DXB
flynas,14h 15m,1 stop,"₹ 31,118",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 38,762",2023-06-01,CCJ,DXB
IndiGo,21h 05m,1 stop,"₹ 15,143",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 15,143",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 16,031",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 16,765",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 16,765",2023-06-01,CCJ,DXB
IndiGo,28h 25m,1 stop,"₹ 18,766",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 19,336",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,916",2023-06-01,CCJ,DXB
Gulf Air,24h 15m,1 stop,"₹ 21,923",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,959",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 22,078",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 26,233",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 26,683",2023-06-01,CCJ,DXB
flynas,17h 25m,1 stop,"₹ 31,118",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 20m,1 stop,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",23h 55m,2 stops,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",24h 00m,1 stop,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",27h 40m,1 stop,"₹ 38,211",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 43,138",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 43,138",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 46,502",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 47,548",2023-06-01,CCJ,DXB
flynas,22h 55m,1 stop,"₹ 47,635",2023-06-01,CCJ,DXB
Air India,25h 40m,3 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,29h 25m,3 stops,"₹ 49,717",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 50,667",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 50,667",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 50,667",2023-06-01,CCJ,DXB
Air India,29h 25m,2 stops,"₹ 50,667",2023-06-01,CCJ,DXB
Air India,20h 25m,2 stops,"₹ 52,242",2023-06-01,CCJ,DXB
flynas,27h 35m,2 stops,"₹ 55,352",2023-06-01,CCJ,DXB
flynas,27h 35m,2 stops,"₹ 56,570",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 63,332",2023-06-01,CCJ,DXB
Qatar Airways,18h 45m,1 stop,"₹ 63,332",2023-06-01,CCJ,DXB
Qatar Airways,25h 05m,1 stop,"₹ 63,332",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",13h 30m,2 stops,"₹ 82,459",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",17h 40m,2 stops,"₹ 82,459",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",19h 15m,2 stops,"₹ 82,459",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",25h 00m,2 stops,"₹ 87,721",2023-06-01,CCJ,DXB
"Qatar Airways, Oman Air",25h 00m,2 stops,"₹ 109,976",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 21,894",2023-06-01,CCJ,DXB
flynas,9h 20m,1 stop,"₹ 31,868",2023-06-01,CCJ,DXB
flynas,11h 15m,1 stop,"₹ 31,868",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 16,031",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 18,513",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,897",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,915",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,916",2023-06-01,CCJ,DXB
Air India,16h 40m,1 stop,"₹ 25,656",2023-06-01,CCJ,DXB
flynas,14h 15m,1 stop,"₹ 31,868",2023-06-01,CCJ,DXB
flynas,17h 25m,1 stop,"₹ 31,868",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 20m,1 stop,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 39,875",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 16,031",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 16,765",2023-06-01,CCJ,DXB
IndiGo,28h 25m,1 stop,"₹ 18,766",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 19,336",2023-06-01,CCJ,DXB
Gulf Air,24h 15m,1 stop,"₹ 21,923",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,959",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 22,078",2023-06-01,CCJ,DXB
Air India,24h 40m,1 stop,"₹ 26,683",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 26,757",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 27,283",2023-06-01,CCJ,DXB
"Air India, Emirates",23h 55m,2 stops,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",27h 40m,1 stop,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",24h 00m,1 stop,"₹ 38,762",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 41,164",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 41,164",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 41,164",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 43,138",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 43,138",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,598",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,598",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,598",2023-06-01,CCJ,DXB
Air India,25h 40m,2 stops,"₹ 48,598",2023-06-01,CCJ,DXB
Air India,28h 00m,3 stops,"₹ 48,693",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,28h 00m,2 stops,"₹ 49,617",2023-06-01,CCJ,DXB
Air India,25h 40m,3 stops,"₹ 50,667",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 19,226",2023-06-01,CCJ,DXB
IndiGo,21h 05m,1 stop,"₹ 15,143",2023-06-01,CCJ,DXB
IndiGo,3h 55m,direct,"₹ 17,732",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 19,226",2023-06-01,CCJ,DXB
SpiceJet,4h 15m,direct,"₹ 18,161",2023-06-01,CCJ,DXB
Hahn Air Systems,4h 15m,direct,"₹ 31,787",2023-06-01,CCJ,DXB
Oman Air,8h 15m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,8h 40m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
IndiGo,10h 00m,1 stop,"₹ 17,972",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 21,887",2023-06-01,CCJ,DXB
IndiGo,14h 05m,1 stop,"₹ 16,031",2023-06-01,CCJ,DXB
Oman Air,14h 00m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 16,882",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 21,894",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,897",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,915",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 23,738",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 23,738",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, flydubai",14h 00m,2 stops,"₹ 27,924",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 28,016",2023-06-01,CCJ,DXB
"Gulf Air, flydubai",13h 55m,1 stop,"₹ 34,094",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 36,606",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, Gulf Air",12h 15m,2 stops,"₹ 39,328",2023-06-01,CCJ,DXB
"Air Arabia, Emirates",9h 55m,2 stops,"₹ 43,782",2023-06-01,CCJ,DXB
"Gulf Air, Emirates",8h 35m,1 stop,"₹ 45,414",2023-06-01,CCJ,DXB
Multiple Airlines,10h 30m,2 stops,"₹ 50,466",2023-06-01,CCJ,DXB
"Oman Air, Gulf Air",10h 45m,2 stops,"₹ 62,836",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 16,592",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 16,765",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 16,765",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 16,765",2023-06-01,CCJ,DXB
IndiGo,28h 25m,1 stop,"₹ 19,848",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 20,291",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,916",2023-06-01,CCJ,DXB
Gulf Air,24h 15m,1 stop,"₹ 21,923",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,959",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 23,112",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 23,738",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 26,683",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 26,757",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 27,283",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, flydubai",16h 50m,2 stops,"₹ 27,924",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, flydubai",19h 50m,2 stops,"₹ 27,924",2023-06-01,CCJ,DXB
"Air Arabia, flydubai",15h 15m,2 stops,"₹ 32,464",2023-06-01,CCJ,DXB
"Air Arabia, flydubai",18h 05m,2 stops,"₹ 32,464",2023-06-01,CCJ,DXB
"Air Arabia, flydubai",21h 05m,2 stops,"₹ 32,464",2023-06-01,CCJ,DXB
"Gulf Air, flydubai",16h 45m,1 stop,"₹ 34,094",2023-06-01,CCJ,DXB
"Gulf Air, flydubai",19h 45m,1 stop,"₹ 34,094",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 20m,1 stop,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 55m,2 stops,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",24h 00m,1 stop,"₹ 36,606",2023-06-01,CCJ,DXB
"Air India, Emirates",27h 40m,1 stop,"₹ 37,896",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, Jazeera Airways",36h 05m,3 stops,"₹ 37,908",2023-06-01,CCJ,DXB
Multiple Airlines,36h 05m,3 stops,"₹ 38,206",2023-06-01,CCJ,DXB
Multiple Airlines,18h 00m,3 stops,"₹ 38,602",2023-06-01,CCJ,DXB
Multiple Airlines,19h 35m,3 stops,"₹ 38,602",2023-06-01,CCJ,DXB
Multiple Airlines,15h 00m,3 stops,"₹ 38,900",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
Air India,28h 10m,2 stops,"₹ 39,064",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, Emirates",16h 05m,2 stops,"₹ 39,244",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, Gulf Air",14h 15m,2 stops,"₹ 39,328",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, Gulf Air",16h 20m,2 stops,"₹ 39,328",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, Gulf Air",18h 40m,2 stops,"₹ 39,328",2023-06-01,CCJ,DXB
Multiple Airlines,14h 45m,3 stops,"₹ 39,444",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, Kuwait Airways",14h 00m,3 stops,"₹ 40,504",2023-06-01,CCJ,DXB
"Air Arabia Abu Dhabi, Kuwait Airways",16h 00m,3 stops,"₹ 40,504",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 43,138",2023-06-01,CCJ,DXB
Air India,29h 05m,2 stops,"₹ 43,138",2023-06-01,CCJ,DXB
Multiple Airlines,19h 15m,3 stops,"₹ 43,526",2023-06-01,CCJ,DXB
Multiple Airlines,20h 50m,3 stops,"₹ 43,526",2023-06-01,CCJ,DXB
"Air Arabia, Emirates",17h 20m,2 stops,"₹ 43,782",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 41,126",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 24,334",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 38,038",2023-06-01,CCJ,DXB
"Air India, Etihad Airways",23h 10m,2 stops,"₹ 122,508",2023-06-01,CCJ,DXB
IndiGo,14h 05m,1 stop,"₹ 18,034",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 18,387",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 24,902",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 24,908",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 24,917",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 25,375",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 26,123",2023-06-01,CCJ,DXB
Air India,16h 40m,1 stop,"₹ 26,683",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 31,908",2023-06-01,CCJ,DXB
"Air India, Emirates",12h 40m,1 stop,"₹ 42,769",2023-06-01,CCJ,DXB
IndiGo,28h 25m,1 stop,"₹ 17,312",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 17,651",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 17,651",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 17,651",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 17,651",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 18,248",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 22,391",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 22,704",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 23,133",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 24,922",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 24,957",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 25,579",2023-06-01,CCJ,DXB
Gulf Air,24h 15m,1 stop,"₹ 29,077",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 30,430",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 32,530",2023-06-01,CCJ,DXB
"Air India, Emirates",18h 20m,1 stop,"₹ 37,713",2023-06-01,CCJ,DXB
"Air India, Emirates",27h 40m,1 stop,"₹ 40,981",2023-06-01,CCJ,DXB
