Airline,Duration,Total stops,Price,Date,Source,Destination
"Air India, Gulf Air",11h 45m,2 stops,"₹ 103,847",2023-06-01,CCJ,DXB
"Etihad Airways, Oman Air",14h 50m,2 stops,"₹ 132,193",2023-06-01,CCJ,DXB
IndiGo,3h 55m,direct,"₹ 19,156",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 14,554",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 15,110",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 16,508",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 14,116",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 15,128",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 15,677",2023-06-01,CCJ,DXB
IndiGo,14h 05m,1 stop,"₹ 12,629",2023-06-01,CCJ,DXB
Air India Express,4h 05m,direct,"₹ 15,677",2023-06-01,CCJ,DXB
IndiGo,3h 55m,direct,"₹ 16,714",2023-06-01,CCJ,DXB
SpiceJet,4h 15m,direct,"₹ 16,847",2023-06-01,CCJ,DXB
Hahn Air Systems,4h 15m,direct,"₹ 31,799",2023-06-01,CCJ,DXB
Oman Air,8h 15m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,8h 40m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
IndiGo,10h 00m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
Gulf Air,8h 05m,1 stop,"₹ 21,030",2023-06-01,CCJ,DXB
"Oman Air, flydubai",6h 55m,1 stop,"₹ 30,447",2023-06-01,CCJ,DXB
IndiGo,14h 55m,1 stop,"₹ 13,049",2023-06-01,CCJ,DXB
IndiGo,13h 05m,1 stop,"₹ 13,474",2023-06-01,CCJ,DXB
IndiGo,13h 30m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
Oman Air,12h 25m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,14h 00m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,15h 20m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Gulf Air,12h 10m,1 stop,"₹ 21,030",2023-06-01,CCJ,DXB
Gulf Air,14h 10m,1 stop,"₹ 21,031",2023-06-01,CCJ,DXB
Gulf Air,16h 15m,1 stop,"₹ 21,039",2023-06-01,CCJ,DXB
IndiGo,13h 55m,1 stop,"₹ 21,575",2023-06-01,CCJ,DXB
"Qatar Airways, flydubai",10h 05m,1 stop,"₹ 47,688",2023-06-01,CCJ,DXB
IndiGo,21h 05m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
IndiGo,27h 05m,1 stop,"₹ 13,984",2023-06-01,CCJ,DXB
IndiGo,18h 45m,1 stop,"₹ 14,577",2023-06-01,CCJ,DXB
IndiGo,26h 45m,1 stop,"₹ 14,577",2023-06-01,CCJ,DXB
Oman Air,19h 45m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,21h 10m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,25h 20m,1 stop,"₹ 15,528",2023-06-01,CCJ,DXB
Oman Air,26h 25m,1 stop,"₹ 15,686",2023-06-01,CCJ,DXB
Oman Air,26h 55m,1 stop,"₹ 15,686",2023-06-01,CCJ,DXB
Gulf Air,18h 35m,1 stop,"₹ 21,041",2023-06-01,CCJ,DXB
Gulf Air,29h 30m,1 stop,"₹ 21,057",2023-06-01,CCJ,DXB
IndiGo,22h 55m,1 stop,"₹ 21,097",2023-06-01,CCJ,DXB
"Air India, Vistara",24h 55m,1 stop,"₹ 24,295",2023-06-01,CCJ,DXB
Air India,24h 35m,1 stop,"₹ 25,656",2023-06-01,CCJ,DXB
Air India,28h 35m,1 stop,"₹ 27,283",2023-06-01,CCJ,DXB
